date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:42	269/269	---MCZ	200	added ('OK')	text/plain	date:Wed,%2015%20Aug%202018%2017:42:41%20GMT	http://www.mervynupton.co.uk/robots.txt		(from )
18:42:44	38830/38830	---MCZ	200	added ('OK')	text/html	etag:W/%22e5a64b1438f5c102556e1245fb7682ab-gzip%22	http://www.mervynupton.co.uk/	Desktop/mervyn-upton/www.mervynupton.co.uk/index.html	(from )
18:42:45	136237/136237	---MCZ	200	added ('OK')	text/html	etag:W/%22a5f9e220732e1064c11c62e780a9f940-gzip%22	http://www.mervynupton.co.uk/films	Desktop/mervyn-upton/www.mervynupton.co.uk/films.html	(from http://www.mervynupton.co.uk/)
18:42:47	29611/29611	---MCZ	200	added ('OK')	text/html	etag:W/%22f6c7b3d581f803f3448ea5ab8a8648a7-gzip%22	http://www.mervynupton.co.uk/writing/	Desktop/mervyn-upton/www.mervynupton.co.uk/writing/index.html	(from http://www.mervynupton.co.uk/)
18:42:47	136237/136237	---MCZ	200	added ('OK')	text/html	etag:W/%22911bff42c74295168d04db2b9b9666d1-gzip%22	http://www.mervynupton.co.uk/films/	Desktop/mervyn-upton/www.mervynupton.co.uk/films/index.html	(from http://www.mervynupton.co.uk/)
18:42:47	34966/34966	---MCZ	200	added ('OK')	text/html	etag:W/%2279bfda1db6e9df26d4e1f4a8843c8b43-gzip%22	http://www.mervynupton.co.uk/memories/	Desktop/mervyn-upton/www.mervynupton.co.uk/memories/index.html	(from http://www.mervynupton.co.uk/)
18:42:47	29611/29611	---MCZ	200	added ('OK')	text/html	etag:W/%22f7fabb258dcdce089b27d2cbbd6f6303-gzip%22	http://www.mervynupton.co.uk/writing	Desktop/mervyn-upton/www.mervynupton.co.uk/writing.html	(from http://www.mervynupton.co.uk/)
18:42:48	34966/34966	---MCZ	200	added ('OK')	text/html	etag:W/%228771ca38f92a77034e265a039ed44661-gzip%22	http://www.mervynupton.co.uk/memories	Desktop/mervyn-upton/www.mervynupton.co.uk/memories.html	(from http://www.mervynupton.co.uk/)
18:42:50	64451/64451	---MCZ	200	added ('OK')	text/html	etag:W/%22cff52d22c5de91798f647335cea52699-gzip%22	http://www.mervynupton.co.uk/childhood-school-days	Desktop/mervyn-upton/www.mervynupton.co.uk/childhood-school-days.html	(from http://www.mervynupton.co.uk/writing/)
18:42:52	57257/57257	---MCZ	200	added ('OK')	text/html	etag:W/%22b4bdfc3360082032b571a545881b2827-gzip%22	http://www.mervynupton.co.uk/mervyns-war-years	Desktop/mervyn-upton/www.mervynupton.co.uk/mervyns-war-years.html	(from http://www.mervynupton.co.uk/writing/)
